Iteration: 1, test error: 0.0208333, cv error: 0.0233333, avg tree size: 25, num trees: 1
Iteration: 2, test error: 0.0208333, cv error: 0.0233333, avg tree size: 25, num trees: 1
Iteration: 3, test error: 0.01625, cv error: 0.0241667, avg tree size: 23, num trees: 2
Iteration: 4, test error: 0.01625, cv error: 0.0241667, avg tree size: 23, num trees: 2
Iteration: 5, test error: 0.0204167, cv error: 0.0229167, avg tree size: 20.3333, num trees: 3
Iteration: 6, test error: 0.0154167, cv error: 0.01875, avg tree size: 20.3333, num trees: 3
Iteration: 7, test error: 0.02375, cv error: 0.0279167, avg tree size: 18, num trees: 4
Iteration: 8, test error: 0.0154167, cv error: 0.01875, avg tree size: 18, num trees: 4
Iteration: 9, test error: 0.0108333, cv error: 0.0133333, avg tree size: 17.8, num trees: 5
Iteration: 10, test error: 0.0108333, cv error: 0.0141667, avg tree size: 17.8, num trees: 5
Iteration: 11, test error: 0.00916667, cv error: 0.0108333, avg tree size: 18, num trees: 6
Iteration: 12, test error: 0.01125, cv error: 0.01375, avg tree size: 18, num trees: 6
Iteration: 13, test error: 0.00833333, cv error: 0.00833333, avg tree size: 18.4286, num trees: 7
Iteration: 14, test error: 0.00791667, cv error: 0.00958333, avg tree size: 18.4286, num trees: 7
Iteration: 15, test error: 0.00958333, cv error: 0.0108333, avg tree size: 18.5, num trees: 8
Iteration: 16, test error: 0.00916667, cv error: 0.0116667, avg tree size: 18.5, num trees: 8
Iteration: 17, test error: 0.00791667, cv error: 0.00833333, avg tree size: 18.5, num trees: 8
Iteration: 18, test error: 0.00791667, cv error: 0.00833333, avg tree size: 18.5, num trees: 8
Iteration: 19, test error: 0.00833333, cv error: 0.00875, avg tree size: 19, num trees: 9
Iteration: 20, test error: 0.00708333, cv error: 0.00791667, avg tree size: 19, num trees: 9
Iteration: 21, test error: 0.00791667, cv error: 0.00958333, avg tree size: 19, num trees: 9
Iteration: 22, test error: 0.00791667, cv error: 0.00833333, avg tree size: 19, num trees: 9
Iteration: 23, test error: 0.00708333, cv error: 0.00708333, avg tree size: 19.6, num trees: 10
Iteration: 24, test error: 0.00666667, cv error: 0.00583333, avg tree size: 19.6, num trees: 10
Iteration: 25, test error: 0.00708333, cv error: 0.00791667, avg tree size: 19.6, num trees: 10
Iteration: 26, test error: 0.00708333, cv error: 0.00791667, avg tree size: 20.5556, num trees: 9
Iteration: 27, test error: 0.00708333, cv error: 0.00791667, avg tree size: 20.5556, num trees: 9
Iteration: 28, test error: 0.00708333, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 29, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 30, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 31, test error: 0.00708333, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 32, test error: 0.00708333, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 33, test error: 0.0075, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 34, test error: 0.0075, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 35, test error: 0.0075, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 36, test error: 0.0075, cv error: 0.00625, avg tree size: 20.5556, num trees: 9
Iteration: 37, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 38, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 39, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 40, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 41, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 42, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 43, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 44, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 45, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 46, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 47, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 48, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 49, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
Iteration: 50, test error: 0.0075, cv error: 0.00666667, avg tree size: 20.5556, num trees: 9
