Iteration: 1, test error: 0.02875, cv error: 0.0295833, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.02875, cv error: 0.0295833, avg tree size: 15, num trees: 1
Iteration: 3, test error: 0.02125, cv error: 0.0308333, avg tree size: 14, num trees: 2
Iteration: 4, test error: 0.02125, cv error: 0.0308333, avg tree size: 14, num trees: 2
Iteration: 5, test error: 0.03125, cv error: 0.0379167, avg tree size: 13.6667, num trees: 3
Iteration: 6, test error: 0.0170833, cv error: 0.0225, avg tree size: 13.6667, num trees: 3
Iteration: 7, test error: 0.0125, cv error: 0.0175, avg tree size: 14, num trees: 4
Iteration: 8, test error: 0.0170833, cv error: 0.0225, avg tree size: 14, num trees: 4
Iteration: 9, test error: 0.0195833, cv error: 0.02375, avg tree size: 13, num trees: 5
Iteration: 10, test error: 0.0133333, cv error: 0.0191667, avg tree size: 13, num trees: 5
Iteration: 11, test error: 0.0170833, cv error: 0.0170833, avg tree size: 13, num trees: 6
Iteration: 12, test error: 0.0145833, cv error: 0.0204167, avg tree size: 13, num trees: 6
Iteration: 13, test error: 0.0141667, cv error: 0.0166667, avg tree size: 13.2857, num trees: 7
Iteration: 14, test error: 0.0141667, cv error: 0.0158333, avg tree size: 13.2857, num trees: 7
Iteration: 15, test error: 0.0116667, cv error: 0.0125, avg tree size: 13.25, num trees: 8
Iteration: 16, test error: 0.0116667, cv error: 0.0120833, avg tree size: 13.25, num trees: 8
Iteration: 17, test error: 0.01, cv error: 0.0104167, avg tree size: 13.2222, num trees: 9
Iteration: 18, test error: 0.0104167, cv error: 0.01125, avg tree size: 13.2222, num trees: 9
Iteration: 19, test error: 0.01, cv error: 0.0120833, avg tree size: 13.2, num trees: 10
Iteration: 20, test error: 0.01, cv error: 0.01125, avg tree size: 13.2, num trees: 10
