Iteration: 1, test error: 0.0191667, cv error: 0.0208333, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.0191667, cv error: 0.0208333, avg tree size: 14, num trees: 2
Iteration: 3, test error: 0.0191667, cv error: 0.0208333, avg tree size: 14.3333, num trees: 3
Iteration: 4, test error: 0.01, cv error: 0.01, avg tree size: 14.5, num trees: 4
Iteration: 5, test error: 0.01125, cv error: 0.0116667, avg tree size: 14.6, num trees: 5
Iteration: 6, test error: 0.00333333, cv error: 0.00708333, avg tree size: 14.6667, num trees: 6
Iteration: 7, test error: 0.00375, cv error: 0.00875, avg tree size: 14.7143, num trees: 7
Iteration: 8, test error: 0.005, cv error: 0.00708333, avg tree size: 14.75, num trees: 8
Iteration: 9, test error: 0.00333333, cv error: 0.00666667, avg tree size: 14.7778, num trees: 9
Iteration: 10, test error: 0.00416667, cv error: 0.00541667, avg tree size: 14.6, num trees: 10
Iteration: 11, test error: 0.00375, cv error: 0.00625, avg tree size: 14.6364, num trees: 11
Iteration: 12, test error: 0.00458333, cv error: 0.00583333, avg tree size: 14.6667, num trees: 12
Iteration: 13, test error: 0.00416667, cv error: 0.005, avg tree size: 14.6923, num trees: 13
Iteration: 14, test error: 0.00541667, cv error: 0.00583333, avg tree size: 14.7143, num trees: 14
Iteration: 15, test error: 0.00333333, cv error: 0.00416667, avg tree size: 14.7333, num trees: 15
Iteration: 16, test error: 0.00333333, cv error: 0.005, avg tree size: 14.75, num trees: 16
Iteration: 17, test error: 0.00375, cv error: 0.005, avg tree size: 14.7647, num trees: 17
Iteration: 18, test error: 0.00291667, cv error: 0.00416667, avg tree size: 14.6667, num trees: 18
Iteration: 19, test error: 0.00208333, cv error: 0.00333333, avg tree size: 14.6842, num trees: 19
Iteration: 20, test error: 0.0025, cv error: 0.00375, avg tree size: 14.7, num trees: 20
