Iteration: 1, test error: 0.035, cv error: 0.0366667, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.035, cv error: 0.0366667, avg tree size: 15, num trees: 1
Iteration: 3, test error: 0.0241667, cv error: 0.0245833, avg tree size: 14, num trees: 2
Iteration: 4, test error: 0.0241667, cv error: 0.0245833, avg tree size: 14, num trees: 2
Iteration: 5, test error: 0.0241667, cv error: 0.0245833, avg tree size: 14, num trees: 2
Iteration: 6, test error: 0.0241667, cv error: 0.0245833, avg tree size: 14, num trees: 2
Iteration: 7, test error: 0.0179167, cv error: 0.0204167, avg tree size: 13.6667, num trees: 3
Iteration: 8, test error: 0.0241667, cv error: 0.0245833, avg tree size: 13.6667, num trees: 3
Iteration: 9, test error: 0.0241667, cv error: 0.0245833, avg tree size: 13.6667, num trees: 3
Iteration: 10, test error: 0.0241667, cv error: 0.0245833, avg tree size: 13.6667, num trees: 3
Iteration: 11, test error: 0.0175, cv error: 0.0208333, avg tree size: 13, num trees: 4
Iteration: 12, test error: 0.0241667, cv error: 0.0245833, avg tree size: 13, num trees: 4
Iteration: 13, test error: 0.0175, cv error: 0.0208333, avg tree size: 13, num trees: 4
Iteration: 14, test error: 0.0175, cv error: 0.0208333, avg tree size: 13, num trees: 4
Iteration: 15, test error: 0.01875, cv error: 0.01875, avg tree size: 13, num trees: 5
Iteration: 16, test error: 0.01875, cv error: 0.01875, avg tree size: 13, num trees: 5
Iteration: 17, test error: 0.0175, cv error: 0.01875, avg tree size: 13, num trees: 6
Iteration: 18, test error: 0.0175, cv error: 0.01875, avg tree size: 13, num trees: 6
Iteration: 19, test error: 0.0175, cv error: 0.01875, avg tree size: 13, num trees: 6
Iteration: 20, test error: 0.0175, cv error: 0.01875, avg tree size: 13, num trees: 6
Iteration: 21, test error: 0.0166667, cv error: 0.02, avg tree size: 13, num trees: 6
Iteration: 22, test error: 0.0175, cv error: 0.01875, avg tree size: 13, num trees: 6
Iteration: 23, test error: 0.0166667, cv error: 0.0175, avg tree size: 12.7143, num trees: 7
Iteration: 24, test error: 0.0166667, cv error: 0.0170833, avg tree size: 12.7143, num trees: 7
Iteration: 25, test error: 0.0141667, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 26, test error: 0.0170833, cv error: 0.0158333, avg tree size: 12.7143, num trees: 7
Iteration: 27, test error: 0.0145833, cv error: 0.0158333, avg tree size: 12.7143, num trees: 7
Iteration: 28, test error: 0.015, cv error: 0.0158333, avg tree size: 12.7143, num trees: 7
Iteration: 29, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 30, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 31, test error: 0.0145833, cv error: 0.0154167, avg tree size: 12.7143, num trees: 7
Iteration: 32, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 33, test error: 0.015, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 34, test error: 0.015, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 35, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 36, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 37, test error: 0.015, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 38, test error: 0.015, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 39, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
Iteration: 40, test error: 0.0154167, cv error: 0.015, avg tree size: 12.7143, num trees: 7
